"p","K","nu","delta","sparse","alpha","independent","ARL","CAD","PFA","power","stream_1_ARL","stream_2_ARL","stream_3_ARL","stream_4_ARL","stream_5_ARL","stream_6_ARL","stream_7_ARL","stream_8_ARL","stream_9_ARL","stream_10_ARL","stream_1_CAD","stream_2_CAD","stream_3_CAD","stream_4_CAD","stream_5_CAD","stream_6_CAD","stream_7_CAD","stream_8_CAD","stream_9_CAD","stream_10_CAD"
1,10,100,0.121392446200583,TRUE,1e-04,FALSE,127.643333333333,27.6433333333333,0,1,127.643333333333,936.413333333333,900.716666666667,Inf,859.96,915.633333333333,886.256666666667,858.68,Inf,906.933333333333,27.6433333333333,836.413333333333,800.716666666667,789.073578595318,759.96,815.633333333333,786.256666666667,758.68,799.508361204013,806.933333333333
0,2,100,0.143374232887377,TRUE,1e-04,FALSE,119.61,19.61,0,1,119.61,Inf,NA,NA,NA,NA,NA,NA,NA,NA,19.61,1498.03333333333,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.143374232887377,TRUE,1e-04,FALSE,118.68,18.68,0,1,118.68,701.71,NA,NA,NA,NA,NA,NA,NA,NA,18.68,601.71,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.143374232887377,TRUE,1e-04,FALSE,124.976666666667,24.9766666666667,0,1,124.976666666667,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,24.9766666666667,1723,1317,1875,2030.25,2036.57142857143,2326.85714285714,1786.6,2155,2239.71428571429
1,10,100,0.143374232887377,TRUE,1e-04,FALSE,124.27,24.27,0,1,124.27,Inf,907.283333333333,Inf,904.27,Inf,893.356666666667,872.863333333333,891.3,914.156666666667,24.27,842.752508361204,807.283333333333,794.327759197324,804.27,762.103678929766,793.356666666667,772.863333333333,791.3,814.156666666667
0,2,100,0.169336489208544,TRUE,1e-04,FALSE,116.87,16.87,0,1,116.87,Inf,NA,NA,NA,NA,NA,NA,NA,NA,16.87,1792.38461538462,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.169336489208544,TRUE,1e-04,FALSE,116.353333333333,16.3533333333333,0,1,116.353333333333,680.946666666667,NA,NA,NA,NA,NA,NA,NA,NA,16.3533333333333,580.946666666667,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.169336489208544,TRUE,1e-04,FALSE,121.383333333333,21.3833333333333,0,1,121.383333333333,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.3833333333333,1974,1982.6,1876.33333333333,2051.75,1893.57142857143,1865.42857142857,1555.25,1791.4,1866.83333333333
1,10,100,0.169336489208544,TRUE,1e-04,FALSE,121.016666666667,21.0166666666667,0,1,121.016666666667,Inf,948.483333333333,901.563333333333,Inf,901.853333333333,937.356666666667,902.153333333333,909.883333333333,964.266666666667,21.0166666666667,815.08389261745,848.483333333333,801.563333333333,788.217391304348,801.853333333333,837.356666666667,802.153333333333,809.883333333333,864.266666666667
0,2,100,0.2,TRUE,1e-04,FALSE,114.843333333333,14.8433333333333,0,1,114.843333333333,Inf,NA,NA,NA,NA,NA,NA,NA,NA,14.8433333333333,1719.5,NA,NA,NA,NA,NA,NA,NA,NA
1,2,100,0.2,TRUE,1e-04,FALSE,114.246666666667,14.2466666666667,0,1,114.246666666667,681.423333333333,NA,NA,NA,NA,NA,NA,NA,NA,14.2466666666667,581.423333333333,NA,NA,NA,NA,NA,NA,NA,NA
0,10,100,0.2,TRUE,1e-04,FALSE,118.973333333333,18.9733333333333,0,1,118.973333333333,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,18.9733333333333,1150,1894.54545454545,1582.55555555556,1708,1927,1600.5,2220.83333333333,1843.5,1288.71428571429
1,10,100,0.2,TRUE,1e-04,FALSE,118.196666666667,18.1966666666667,0,1,118.196666666667,Inf,920.626666666667,Inf,894.35,953.743333333333,953.276666666667,Inf,Inf,906.826666666667,18.1966666666667,818.428093645485,820.626666666667,828.685618729097,794.35,853.743333333333,853.276666666667,832.133779264214,773.585284280937,806.826666666667
