"nu","delta","strategy","kelly_lam","power","FAR","CAD","comp_time_ms"
200,0.1,"Oracle Kelly",1.75334258484986,0.903333333333333,0.0966666666666667,35.2619926199262,1.44333333333336
200,0.15,"Full AGRAPA",NA,0.97,0.03,58.5257731958763,1.48000000000001
200,0.15,"Window AGRAPA (W=30)",NA,0.936666666666667,0.0633333333333333,26.7615658362989,1.50999999999996
200,0.15,"EWMA (rho=0.10)",NA,0.88,0.12,23.5606060606061,1.96000000000003
200,0.15,"Per-clock W=30",NA,0.9,0.1,24.5555555555556,4.14666666666667
200,0.15,"Oracle Kelly",1.99999997019768,0.913333333333333,0.0866666666666666,22.6131386861314,1.46333333333331
200,0.2,"Full AGRAPA",NA,0.973333333333333,0.0266666666666667,43.6061643835616,1.51000000000001
200,0.2,"Window AGRAPA (W=30)",NA,0.916666666666667,0.0833333333333333,19.9381818181818,1.47999999999996
200,0.2,"EWMA (rho=0.10)",NA,0.896666666666667,0.103333333333333,16.8104089219331,2.00666666666668
200,0.2,"Per-clock W=30",NA,0.926666666666667,0.0733333333333334,18.0359712230216,4.07000000000001
200,0.2,"Oracle Kelly",1.99999997019768,0.86,0.14,16.7674418604651,1.43666666666666
200,0.3,"Full AGRAPA",NA,0.963333333333333,0.0366666666666667,30.7474048442907,1.50333333333331
200,0.3,"Window AGRAPA (W=30)",NA,0.903333333333333,0.0966666666666667,14.4206642066421,1.51333333333336
200,0.3,"EWMA (rho=0.10)",NA,0.906666666666667,0.0933333333333332,11.4411764705882,1.94666666666663
200,0.3,"Per-clock W=30",NA,0.903333333333333,0.0966666666666667,12.4833948339483,3.93333333333336
200,0.3,"Oracle Kelly",1.99999997019768,0.88,0.12,11.3181818181818,1.45333333333331
200,0.4,"Full AGRAPA",NA,0.986666666666667,0.0133333333333333,23.4628378378378,1.53000000000001
200,0.4,"Window AGRAPA (W=30)",NA,0.953333333333333,0.0466666666666667,11.7797202797203,1.53333333333331
200,0.4,"EWMA (rho=0.10)",NA,0.906666666666667,0.0933333333333333,9.05147058823529,1.93666666666668
200,0.4,"Per-clock W=30",NA,0.936666666666667,0.0633333333333333,9.54092526690391,3.8966666666667
200,0.4,"Oracle Kelly",1.99999997019768,0.89,0.11,8.77902621722846,1.49333333333331
