"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",264.376666666667,254.376666666667,0,1
0,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1437.02941176471,0,0.226666666666667
0,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",410.713333333333,400.713333333333,0,1
0,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",315.5,305.5,0,1
1,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",552.853333333333,542.853333333333,0,1
1,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1398.7247706422,0.01,0.363333333333333
1,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",431.673333333333,421.673333333333,0,1
1,2,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",302.213333333333,292.213333333333,0,1
0,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",258.34,248.34,0,1
0,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1100.81818181818,0,0.0366666666666667
0,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",1057.28333333333,1047.28333333333,0,1
0,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",390.19,380.19,0,1
1,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",545.67,535.67,0,1
1,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1296.54285714286,0.973333333333333,0.116666666666667
1,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",941.27,931.27,0,1
1,10,10,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",164.29,154.29,0,1
0,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1147.01333333333,205.5,0.0833333333333333,1
0,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,909.107142857143,0.0233333333333333,0.186666666666667
0,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",1580.25,580.25,0,1
